ID,Jahr,Betriebsteile,Vollbeschaeftigte,Lohnsumme_Mio,Anerkannte_Faelle,Faelle_Taggeld,Schwere_Unfaelle,Schwerste_Unfaelle,Invalidenrenten_UE,Invalidenrenten_80_UE,Todesfaelle_UE,Berufskrankheiten_BK,Invalidenrenten_BK,Todesfaelle_BK,Entschaedigte_Tage
27,2014,764,31907,2604,1271,523,44,11,4,0,0,24,0,0,20062
27,2015,767,32026,2543,1237,511,46,9,6,0,0,19,0,0,19991
27,2016,764,31652,2514,1132,459,42,7,6,0,1,24,2,0,18721
27,2017,785,31197,2474,1142,476,39,6,3,0,0,15,1,0,18524
27,2018,788,31554,2494,1108,481,42,15,7,0,1,14,0,1,17681
27,2019,785,31679,2501,1165,495,33,6,6,0,0,13,1,1,15864
27,2020,777,30157,2399,1029,461,43,6,0,0,1,11,0,2,17632
27,2021,804,29344,2250,1072,477,49,6,1,0,0,13,0,2,19045
28,2012,2069,86515,6417,5213,1863,147,32,15,0,1,96,2,1,71734
28,2013,2044,83979,6340,4854,1747,152,29,18,0,1,88,1,2,65724
28,2014,2009,83227,6344,4709,1712,143,23,23,0,2,86,3,0,61865
28,2015,1978,82256,6240,4434,1620,145,24,9,0,2,56,2,1,60456
28,2016,1942,81517,6268,4404,1730,124,26,10,1,4,56,1,3,60484
28,2017,1914,82056,6355,4234,1611,126,33,11,0,0,73,1,2,59864
28,2018,1910,83105,6495,4220,1658,117,26,19,0,1,53,1,0,57118
28,2019,1903,83229,6626,4222,1733,137,15,12,0,3,50,2,2,56176
28,2020,1897,81540,6548,3451,1423,124,19,9,0,0,43,1,2,53980
28,2021,1865,81334,6476,3621,1377,106,26,5,0,2,32,3,2,50157
29,2012,183,4721,316,581,217,12,2,1,0,0,10,0,0,7532
29,2013,193,4685,311,568,202,10,1,3,1,0,5,1,0,7021
29,2014,188,4778,312,609,233,10,2,1,0,0,5,0,0,5876
29,2015,188,4595,308,571,233,19,2,1,0,0,8,0,0,7575
29,2016,187,4593,311,476,186,12,4,0,0,0,8,0,0,6192
29,2017,192,4805,313,487,190,15,1,1,0,0,3,0,0,6812
29,2018,196,4651,326,489,188,10,2,1,0,0,6,1,0,7099
29,2019,196,5061,335,456,191,17,3,0,0,0,1,1,0,7789
29,2020,196,4807,328,361,159,7,3,0,0,0,1,1,0,6591
29,2021,204,4743,324,384,145,7,1,1,0,0,3,0,0,4224
30,2012,195,12888,984,871,318,21,3,0,0,0,7,0,1,9215
30,2013,195,13516,986,748,280,28,4,4,0,0,14,0,2,9414
30,2014,192,12751,991,630,253,18,4,2,0,0,10,0,2,8440
30,2015,185,12808,997,653,262,22,2,1,0,0,13,0,0,7801
30,2016,193,13192,1046,576,218,15,4,0,0,0,13,0,2,7059
30,2017,197,13185,1071,578,248,13,4,3,0,0,13,1,2,8286
30,2018,197,13568,1094,584,225,16,3,0,0,0,6,0,0,7947
30,2019,201,13745,1127,592,277,15,2,4,0,0,11,0,0,7909
30,2020,208,12199,961,540,257,25,2,0,0,0,3,0,0,8267
30,2021,214,11671,888,548,277,14,1,3,0,1,11,0,0,7801
31,2012,674,10719,685,978,370,30,6,7,0,0,14,0,0,13899
31,2013,664,10363,682,940,407,39,10,2,0,1,24,1,1,17660
31,2014,657,10239,674,904,352,24,6,2,0,0,17,0,1,14912
31,2015,647,9891,655,885,350,31,5,1,0,0,11,0,2,13934
31,2016,634,9957,657,801,333,37,7,1,0,0,12,1,1,14734
